52,Danna ___ her piano lesson now because she's sick. ,doesn't take,isn't taking,not take,not taking,isn't taking
53,"A: What ___ the kids ___ right now? They are so quiet!
B: I can't tell. It's a surprise. 
",will ... doing,did ... do,do ... do,are ... doing,are ... doing
54,Brian and Tom met last year. They ___ friends five years ago.,weren't,wasn't,don't,didn't,weren't
55,"A: ___ Liza Minnelli  very popular in the 1970's?
B: Yes. She appeared in many films from that decade.
",Is,Were,Was,Did,Was
56,Louise and Mark didn't go  to a party yesterday. They ___ home all day. ,were,was,are,be,were
57,We ___ delicious  seafood  in Los Cabos last summer.,ate,eating,eats,eat,ate
58,"You and your brother ___ a beautiful play for the theater festival last
week. Congratulations!
",are writing,write,wrote,can write,wrote
59,"You __ to the movies yesterday evening, right?",go,went,are going,can go,went
60,"Last Friday my children ___ eat the chicken soup because it was too
spicy.
",don't,won't,can't,didn't,didn't
61,"Michael was out of town last weekend so he ___ have time to finish the
report.
",can't,don't,didn't,won't,didn't
62,Nathan's family ___ go camping a week ago because of the rain.,don't,won't,can't,didn't,didn't
63,"A: How ___ you and your family   celebrate your father's birthday last week?
B: We had dinner together at a fancy restaurant.
",do,did,are,does,did
64,"A: Where ___  Cindy ___on her last vacation?
B: To San Diego  with her family.
",does....go,did....go,is...going,do....go,did....go
65,"A: Hello, Car Rental Services. Can I help you?
B: I ___ in San Diego next week and I need a car.
",m,was,m going to be,being,m going to be
66,"A: ___ you ___ a taxi to the airport tomorrow?
B: No, my parents want to drive me there.
",Do ... like taking,Did ... take,Are ... good at taking,Are ... going to take,Are ... going to take
67,"A: Do you have any plans for your next vacation?
B: Yes. My family and I  ___ my cousin Steve in New York.
",visit,visiting,visited,are going to visit,are going to visit
68,Jessica  is ____ than her roommate.,the most attractive,more attractive,as attractive,most attractive,more attractive
69,"A: Which cell  phone should I buy?
B: The LG is ___ the Nokia, but the Nokia is more practical.
",prettier than,as pretty,more pretty than,prettier,prettier than
70,"A: Who is the ___ in your family?
B: My brother Jim  is.
",taller,taller than,tallest,as tall,tallest
71,"A: Does Kelly  like her new apartment?
B: She does, but she says that the neighborhood isn't ___ the previous
one.
",less quiet than,as quiet as,quiet enough,so quiet that,as quiet as
72,Mrs. Cooper  is ____ than her sisters.,more diligent,most diligent,diligent,as diligent,more diligent
73,My parents ___ to Paris three times since they  got  married.,can be,will be,are,have been,have been
74,"Pete ___his homework yet, so he can't go out.",didn't finish,isn't finishing,hasn't finished,doesn't finish,hasn't finished
75,"I am getting a diploma next week because I ___ just ___ my German
course.
",have ... finished ,will ... finish,am ... finished,should ... finish,have ... finished 
76,"A: Hi, Rihanna!
B: Steve! What a surprise! I ___ you since high school!
",couldn't see,haven't seen,didn't see,m not seeing,haven't seen
77,"Since we graduated, my friends and I ___ to San Diego four times.",traveled,are traveling,will travel,have traveled ,have traveled 
78,"A: I went to France on my last vacation.
B: That's great! I've been to Germany and Spain but I haven't
visited France  ___.
",never,already,yet,after,yet
79,Gilbert ___ his friends yet. He's been very busy.,didn't see,hasn't seen,doesn't see,isn't seeing,hasn't seen
80,"A:  Has Paul  read a lot of books?
B: I bet he hasn't. There are ___ books in his house
",no,any,nothing,none ,no
81,"A: I don't think we should be playing with dad's smartphone.
B: Don't worry. ____ bad is going to happen.
",Something,Anything,Nothing,Everything,Nothing
82,"A: My father was cooking lunch ___ my mother was washing the car.
B: Really?
",which,where,that,while ,while 
83,I was designing a mind map when my computer ___ working.,stopped ,stops,has stopped,was stopped,stopped 
84,"A: What do the Browns  do to stay in shape?
B: I really don't know. They ___ to the gym twice a week but they don't
anymore.
",used to go,went,usually go, have gone,used to go
85,"My sister and I love  eating fruit and vegetables now, but we ____.",not used to,didn't use to,didn't used to ,not using to,didn't use to
86,"When John was a child, he ___spend his vacation with his grandparents.",use,use,used ,used to ,used to 
87,Annie always brings cake if there ___ a birthday at the office.,is,will be,was, has been,is
88,"If Jake doesn't finish work late, he ___ to the party tonight.",goes,will go,would go,is going,will go
89,Patrick is a great cyclist. He' ll win this tournament if he ______ lose control. ,can't,wouldn't,doesn't,not ,doesn't
90,"A: I think I have a fever.
B: You  ___ go to work today.
",shouldn't,couldn't,don't,wouldn't,shouldn't
91,Well-mannered  people  _______ chew with the mouth open.,are not going to,won't be able to,must not,aren't able to,must not
92,"The new BMW car is incredible, but it is ___ expensive for me to  buy.",enough,much,too,excessive,too
93,Pamela is late for work again. She isn't responsible ___ for this job.,sufficiently,enough,very,too,enough
94,"Joe's parents  are simply  too nice to him. Believe me, If he  were my son, I  ____ demand a lot  more from him. ",will,would,be able to ,can,would
95,"MAN:  Myrna has just bought a luxurious  apartment. 
WOMAN: Well, I'd buy an expensive one too if I ___  as  much money as she does.  
",made,make,making,would make,made
96,"A: How often does Peter  go to dance clubs?
B: Never. He can't stand  ___.
",danced,dances,dancing,dance,dancing
97,"A: Do you want to take a taxi home?
B: That's OK. I don't mind ___.
",walking,walk,to walk,walked,walking
98,"A: Would you like to go to a night club on Friday?
B: Not really. I can't stand ___.
",to dance,dance,dancing,danced,dancing
99,"A: Did Paul ask you ___ him with his school project yesterday?
B:  He did, but  I was terribly busy.
",helping,help,to help,helps,to help
100,"LISA: Where did I leave my jacket?
BILL: It's in the car. Let me ___ it for you.
",get,to get,got,getting,get
101,Let's go out and do something fun! I'm ___.,boring,bore,bored,to bore,bored
102,"A:Did you like the Cloisters Museum and Gardens in New York?
B:I did. I ___so many art pieces in one single place before. I loved it!
",was never seen,never saw,has never seen,had never seen ,had never seen 
103,"A: The traffic was very heavy when Sally left so, she missed her bus. 
B:  I wish she ___ too late to the station so she could've caught the bus.
",didn't arrive,wouldn't arrived,hadn't arrived,isn't arriving ,hadn't arrived
104,Karl Marx's Capital is one of the most important texts in economics  and politics. It ___ for the first time in 1867.,is published,was publishing,has published,was published,was published
105,"Will you hurry up with that report? You know the boss dislikes  reports
___ on time.
",won't be finished,not being finished,aren't finished,not finishing,not being finished
106,"A: Did you have fun with your little brother  last weekend?
B: Yes, he ___ to the amusement park.
",enjoyed taking,enjoyed being taken,were enjoying taken,was being taken,enjoyed being taken
107,"A: It's a shame your uncle  never finished that coffee table.
B: He  ___ completed it if  he'd had enough time and money.
",would like,would have been,would have,would be,would have
108,"My parents ___ longer in Chicago,  if they had had  more money.",would have stayed,will stay,had stayed, have stayed,would have stayed
109,"A: Shall we do something special tonight?
B: Sure! But I don't know ___ to go dancing or to the opera.
",or,neither,whether,either,whether
110,"A: That girl over there is a knockout.
B: Do you like her? I like the girl___ the photo booth.
",that's standing by,is standing by,is standing where,who's standing where,that's standing by
111,That's  the little restaurant___ Linda and Harry met.,which,where,that,what,where
112,Mr. White called me today. He wanted to know what time ____ tomorrow.,does the show begin ,did the show begin,the show began,the show begin,the show began
113,I ___ fixed last week. It doesn't make funny noises anymore.,took my car,had my car to being ,had my car ,'ll have my car,had my car 
114,"My driver's license was expired, so I went to the motor vehicle
office __ renewed.
",for to get it,to have it to be,it has been,to have it ,to have it 
115,"A: How old were you in this picture, grandpa?
B: I think I was 20. Look at my hair. It ___ during the 60's.
",must have been taken,would be taken,will be taken, probably was,must have been taken
